Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1065,01-10-17,4.32E+15,1,burnt garlic tonkotsu ramen
1066,01-10-17,4.32E+15,1,burnt garlic tonkotsu ramen
1073,01-10-17,4.85E+15,2,burnt garlic tonkotsu ramen
1074,01-10-17,4.85E+15,2,burnt garlic tonkotsu ramen
1147,01-11-17,4.57E+15,1,burnt garlic tonkotsu ramen
1148,01-11-17,4.57E+15,1,burnt garlic tonkotsu ramen
1151,01-11-17,9.61E+15,1,burnt garlic tonkotsu ramen
1152,01-11-17,9.61E+15,1,burnt garlic tonkotsu ramen
1161,01-11-17,9.84E+15,1,burnt garlic tonkotsu ramen
1162,01-11-17,9.84E+15,1,burnt garlic tonkotsu ramen
1165,01-11-17,8.84E+15,1,burnt garlic tonkotsu ramen
1166,01-11-17,8.84E+15,1,burnt garlic tonkotsu ramen
1169,01-11-17,4.37E+15,1,burnt garlic tonkotsu ramen
1170,01-11-17,4.37E+15,1,burnt garlic tonkotsu ramen
1173,01-11-17,5.89E+15,1,burnt garlic tonkotsu ramen
1174,01-11-17,5.89E+15,1,burnt garlic tonkotsu ramen
1207,01-11-17,4.77E+15,1,burnt garlic tonkotsu ramen
1208,01-11-17,4.77E+15,1,burnt garlic tonkotsu ramen
1215,01-11-17,7.87E+15,1,burnt garlic tonkotsu ramen
1216,01-11-17,7.87E+15,1,burnt garlic tonkotsu ramen
1225,01-11-17,5.88E+15,1,burnt garlic tonkotsu ramen
1226,01-11-17,5.88E+15,1,burnt garlic tonkotsu ramen
1261,01-11-17,2.18E+15,1,burnt garlic tonkotsu ramen
1262,01-11-17,2.18E+15,1,burnt garlic tonkotsu ramen
1287,01-12-17,9.81E+15,1,burnt garlic tonkotsu ramen
1288,01-12-17,9.81E+15,1,burnt garlic tonkotsu ramen
1327,01-12-17,6.17E+15,1,burnt garlic tonkotsu ramen
1328,01-12-17,6.17E+15,1,burnt garlic tonkotsu ramen
1345,01-12-17,8.84E+15,1,burnt garlic tonkotsu ramen
1346,01-12-17,8.84E+15,1,burnt garlic tonkotsu ramen
1383,01-12-17,4.15E+15,1,burnt garlic tonkotsu ramen
1384,01-12-17,4.15E+15,1,burnt garlic tonkotsu ramen
1389,01-12-17,5.16E+15,1,burnt garlic tonkotsu ramen
1390,01-12-17,5.16E+15,1,burnt garlic tonkotsu ramen
1395,01-12-17,5.79E+15,2,burnt garlic tonkotsu ramen
1396,01-12-17,5.79E+15,2,burnt garlic tonkotsu ramen
1401,01-12-17,7.02E+15,1,burnt garlic tonkotsu ramen
1402,01-12-17,7.02E+15,1,burnt garlic tonkotsu ramen
1415,01-12-17,8.36E+15,1,burnt garlic tonkotsu ramen
1416,01-12-17,8.36E+15,1,burnt garlic tonkotsu ramen
1459,01-13-2017,3.60E+14,3,burnt garlic tonkotsu ramen
1460,01-13-2017,3.60E+14,3,burnt garlic tonkotsu ramen
1461,01-13-2017,4.05E+15,3,burnt garlic tonkotsu ramen
1462,01-13-2017,4.05E+15,3,burnt garlic tonkotsu ramen
1511,01-14-2017,8.53E+15,1,burnt garlic tonkotsu ramen
1512,01-14-2017,8.53E+15,1,burnt garlic tonkotsu ramen
1525,01-14-2017,4.18E+15,1,burnt garlic tonkotsu ramen
1526,01-14-2017,4.18E+15,1,burnt garlic tonkotsu ramen
1537,01-14-2017,9.91E+15,2,burnt garlic tonkotsu ramen
1538,01-14-2017,9.91E+15,2,burnt garlic tonkotsu ramen
1579,01-14-2017,1.18E+15,3,burnt garlic tonkotsu ramen
1580,01-14-2017,1.18E+15,3,burnt garlic tonkotsu ramen
1605,01-14-2017,4.48E+15,1,burnt garlic tonkotsu ramen
1606,01-14-2017,4.48E+15,1,burnt garlic tonkotsu ramen
1615,01-14-2017,5.25E+15,1,burnt garlic tonkotsu ramen
1616,01-14-2017,5.25E+15,1,burnt garlic tonkotsu ramen
1617,01-14-2017,5.40E+15,1,burnt garlic tonkotsu ramen
1618,01-14-2017,5.40E+15,1,burnt garlic tonkotsu ramen
1671,01-14-2017,5.58E+15,1,burnt garlic tonkotsu ramen
1672,01-14-2017,5.58E+15,1,burnt garlic tonkotsu ramen
1677,01-14-2017,2.54E+14,1,burnt garlic tonkotsu ramen
1678,01-14-2017,2.54E+14,1,burnt garlic tonkotsu ramen
1703,01-15-2017,6.97E+15,4,burnt garlic tonkotsu ramen
1704,01-15-2017,6.97E+15,4,burnt garlic tonkotsu ramen
1711,01-15-2017,6.73E+15,1,burnt garlic tonkotsu ramen
1712,01-15-2017,6.73E+15,1,burnt garlic tonkotsu ramen
1823,01-16-2017,4.46E+15,1,burnt garlic tonkotsu ramen
1824,01-16-2017,4.46E+15,1,burnt garlic tonkotsu ramen
1867,01-17-2017,2.74E+15,1,burnt garlic tonkotsu ramen
1868,01-17-2017,2.74E+15,1,burnt garlic tonkotsu ramen
1887,01-17-2017,6.00E+15,1,burnt garlic tonkotsu ramen
1888,01-17-2017,6.00E+15,1,burnt garlic tonkotsu ramen
1953,01-17-2017,9.01E+15,1,burnt garlic tonkotsu ramen
1954,01-17-2017,9.01E+15,1,burnt garlic tonkotsu ramen
1965,01-17-2017,4.33E+15,1,burnt garlic tonkotsu ramen
1966,01-17-2017,4.33E+15,1,burnt garlic tonkotsu ramen
1989,01-17-2017,9.38E+15,1,burnt garlic tonkotsu ramen
1990,01-17-2017,9.38E+15,1,burnt garlic tonkotsu ramen
1993,01-17-2017,3.72E+15,3,burnt garlic tonkotsu ramen
1994,01-17-2017,3.72E+15,3,burnt garlic tonkotsu ramen
2039,01-17-2017,1.04E+15,1,burnt garlic tonkotsu ramen
2040,01-17-2017,1.04E+15,1,burnt garlic tonkotsu ramen
2069,01-18-2017,5.35E+15,1,burnt garlic tonkotsu ramen
2070,01-18-2017,5.35E+15,1,burnt garlic tonkotsu ramen
2091,01-19-2017,7.69E+15,2,burnt garlic tonkotsu ramen
2092,01-19-2017,7.69E+15,2,burnt garlic tonkotsu ramen
2097,01-19-2017,7.18E+15,1,burnt garlic tonkotsu ramen
2098,01-19-2017,7.18E+15,1,burnt garlic tonkotsu ramen
2111,01-20-2017,1.24E+15,1,burnt garlic tonkotsu ramen
2112,01-20-2017,1.24E+15,1,burnt garlic tonkotsu ramen
2145,01-20-2017,7.46E+15,2,burnt garlic tonkotsu ramen
2146,01-20-2017,7.46E+15,2,burnt garlic tonkotsu ramen
2171,01-20-2017,2.79E+15,2,burnt garlic tonkotsu ramen
2172,01-20-2017,2.79E+15,2,burnt garlic tonkotsu ramen
2177,01-20-2017,1.19E+15,1,burnt garlic tonkotsu ramen
2178,01-20-2017,1.19E+15,1,burnt garlic tonkotsu ramen
2229,01-21-2017,1.97E+13,1,burnt garlic tonkotsu ramen
2230,01-21-2017,1.97E+13,1,burnt garlic tonkotsu ramen
2233,01-21-2017,2.40E+15,2,burnt garlic tonkotsu ramen
2234,01-21-2017,2.40E+15,2,burnt garlic tonkotsu ramen
2265,01-21-2017,5.28E+15,3,burnt garlic tonkotsu ramen
2266,01-21-2017,5.28E+15,3,burnt garlic tonkotsu ramen
2267,01-22-2017,8.72E+15,2,burnt garlic tonkotsu ramen
2268,01-22-2017,8.72E+15,2,burnt garlic tonkotsu ramen
2283,01-22-2017,2.75E+15,1,burnt garlic tonkotsu ramen
2284,01-22-2017,2.75E+15,1,burnt garlic tonkotsu ramen
2285,01-22-2017,9.86E+15,1,burnt garlic tonkotsu ramen
2286,01-22-2017,9.86E+15,1,burnt garlic tonkotsu ramen
2331,01-22-2017,7.07E+15,1,burnt garlic tonkotsu ramen
2332,01-22-2017,7.07E+15,1,burnt garlic tonkotsu ramen
2419,01-23-2017,6.91E+15,4,burnt garlic tonkotsu ramen
2420,01-23-2017,6.91E+15,4,burnt garlic tonkotsu ramen
2469,01-24-2017,3.73E+14,1,burnt garlic tonkotsu ramen
2470,01-24-2017,3.73E+14,1,burnt garlic tonkotsu ramen
2475,01-24-2017,8.91E+15,1,burnt garlic tonkotsu ramen
2476,01-24-2017,8.91E+15,1,burnt garlic tonkotsu ramen
2477,01-24-2017,9.29E+15,1,burnt garlic tonkotsu ramen
2478,01-24-2017,9.29E+15,1,burnt garlic tonkotsu ramen
2519,01-24-2017,5.39E+15,1,burnt garlic tonkotsu ramen
2520,01-24-2017,5.39E+15,1,burnt garlic tonkotsu ramen
2557,01-24-2017,2.43E+15,1,burnt garlic tonkotsu ramen
2558,01-24-2017,2.43E+15,1,burnt garlic tonkotsu ramen
2565,01-24-2017,6.24E+14,1,burnt garlic tonkotsu ramen
2566,01-24-2017,6.24E+14,1,burnt garlic tonkotsu ramen
2567,01-24-2017,7.20E+14,1,burnt garlic tonkotsu ramen
2568,01-24-2017,7.20E+14,1,burnt garlic tonkotsu ramen
2585,01-24-2017,1.69E+15,1,burnt garlic tonkotsu ramen
2586,01-24-2017,1.69E+15,1,burnt garlic tonkotsu ramen
2617,01-25-2017,7.94E+15,2,burnt garlic tonkotsu ramen
2618,01-25-2017,7.94E+15,2,burnt garlic tonkotsu ramen
2659,01-25-2017,6.19E+15,1,burnt garlic tonkotsu ramen
2660,01-25-2017,6.19E+15,1,burnt garlic tonkotsu ramen
2671,01-25-2017,6.40E+15,1,burnt garlic tonkotsu ramen
2672,01-25-2017,6.40E+15,1,burnt garlic tonkotsu ramen
2685,01-25-2017,3.11E+14,1,burnt garlic tonkotsu ramen
2686,01-25-2017,3.11E+14,1,burnt garlic tonkotsu ramen
2725,01-25-2017,8.19E+15,1,burnt garlic tonkotsu ramen
2726,01-25-2017,8.19E+15,1,burnt garlic tonkotsu ramen
2747,01-25-2017,1.64E+15,1,burnt garlic tonkotsu ramen
2748,01-25-2017,1.64E+15,1,burnt garlic tonkotsu ramen
2759,01-25-2017,7.71E+15,2,burnt garlic tonkotsu ramen
2760,01-25-2017,7.71E+15,2,burnt garlic tonkotsu ramen
2785,01-26-2017,4.17E+15,2,burnt garlic tonkotsu ramen
2786,01-26-2017,4.17E+15,2,burnt garlic tonkotsu ramen
2791,01-26-2017,2.65E+15,4,burnt garlic tonkotsu ramen
2792,01-26-2017,2.65E+15,4,burnt garlic tonkotsu ramen
2833,01-27-2017,2.63E+15,1,burnt garlic tonkotsu ramen
2834,01-27-2017,2.63E+15,1,burnt garlic tonkotsu ramen
2887,01-28-2017,5.17E+15,1,burnt garlic tonkotsu ramen
2888,01-28-2017,5.17E+15,1,burnt garlic tonkotsu ramen
2895,01-28-2017,2.73E+14,1,burnt garlic tonkotsu ramen
2896,01-28-2017,2.73E+14,1,burnt garlic tonkotsu ramen
2899,01-28-2017,4.17E+15,1,burnt garlic tonkotsu ramen
2900,01-28-2017,4.17E+15,1,burnt garlic tonkotsu ramen
2917,01-28-2017,3.05E+15,1,burnt garlic tonkotsu ramen
2918,01-28-2017,3.05E+15,1,burnt garlic tonkotsu ramen
2925,01-28-2017,4.68E+15,1,burnt garlic tonkotsu ramen
2926,01-28-2017,4.68E+15,1,burnt garlic tonkotsu ramen
2931,01-28-2017,9.67E+14,1,burnt garlic tonkotsu ramen
2932,01-28-2017,9.67E+14,1,burnt garlic tonkotsu ramen
2951,01-28-2017,9.81E+15,1,burnt garlic tonkotsu ramen
2952,01-28-2017,9.81E+15,1,burnt garlic tonkotsu ramen
2955,01-28-2017,7.31E+14,1,burnt garlic tonkotsu ramen
2956,01-28-2017,7.31E+14,1,burnt garlic tonkotsu ramen
3011,01-29-2017,8.42E+15,1,burnt garlic tonkotsu ramen
3012,01-29-2017,8.42E+15,1,burnt garlic tonkotsu ramen
3033,01-29-2017,2.76E+15,1,burnt garlic tonkotsu ramen
3034,01-29-2017,2.76E+15,1,burnt garlic tonkotsu ramen
3061,01-29-2017,9.17E+15,1,burnt garlic tonkotsu ramen
3062,01-29-2017,9.17E+15,1,burnt garlic tonkotsu ramen
3063,01-29-2017,5.35E+15,1,burnt garlic tonkotsu ramen
3064,01-29-2017,5.35E+15,1,burnt garlic tonkotsu ramen
3067,01-29-2017,6.52E+14,1,burnt garlic tonkotsu ramen
3068,01-29-2017,6.52E+14,1,burnt garlic tonkotsu ramen
3069,01-29-2017,3.17E+15,1,burnt garlic tonkotsu ramen
3070,01-29-2017,3.17E+15,1,burnt garlic tonkotsu ramen
3089,01-29-2017,9.43E+15,2,burnt garlic tonkotsu ramen
3090,01-29-2017,9.43E+15,2,burnt garlic tonkotsu ramen
3101,01-29-2017,6.67E+15,1,burnt garlic tonkotsu ramen
3102,01-29-2017,6.67E+15,1,burnt garlic tonkotsu ramen
3107,01-29-2017,7.63E+15,1,burnt garlic tonkotsu ramen
3108,01-29-2017,7.63E+15,1,burnt garlic tonkotsu ramen
3161,01-30-2017,8.28E+15,1,burnt garlic tonkotsu ramen
3162,01-30-2017,8.28E+15,1,burnt garlic tonkotsu ramen
3197,01-31-2017,7.34E+15,1,burnt garlic tonkotsu ramen
3198,01-31-2017,7.34E+15,1,burnt garlic tonkotsu ramen
3233,02-01-17,8.15E+15,1,burnt garlic tonkotsu ramen
3234,02-01-17,8.15E+15,1,burnt garlic tonkotsu ramen
3271,02-01-17,8.62E+15,1,burnt garlic tonkotsu ramen
3272,02-01-17,8.62E+15,1,burnt garlic tonkotsu ramen
3275,02-01-17,8.92E+15,4,burnt garlic tonkotsu ramen
3276,02-01-17,8.92E+15,4,burnt garlic tonkotsu ramen
3345,02-01-17,8.90E+15,1,burnt garlic tonkotsu ramen
3346,02-01-17,8.90E+15,1,burnt garlic tonkotsu ramen
3359,02-01-17,7.79E+15,1,burnt garlic tonkotsu ramen
3360,02-01-17,7.79E+15,1,burnt garlic tonkotsu ramen
3363,02-01-17,7.63E+15,1,burnt garlic tonkotsu ramen
3364,02-01-17,7.63E+15,1,burnt garlic tonkotsu ramen
3397,02-02-17,2.23E+15,1,burnt garlic tonkotsu ramen
3398,02-02-17,2.23E+15,1,burnt garlic tonkotsu ramen
3413,02-02-17,4.83E+15,2,burnt garlic tonkotsu ramen
3414,02-02-17,4.83E+15,2,burnt garlic tonkotsu ramen
3415,02-02-17,1.03E+15,2,burnt garlic tonkotsu ramen
3416,02-02-17,1.03E+15,2,burnt garlic tonkotsu ramen
3421,02-03-17,4.77E+14,1,burnt garlic tonkotsu ramen
3422,02-03-17,4.77E+14,1,burnt garlic tonkotsu ramen
3435,02-03-17,7.11E+15,1,burnt garlic tonkotsu ramen
3436,02-03-17,7.11E+15,1,burnt garlic tonkotsu ramen
3519,02-03-17,4.51E+15,1,burnt garlic tonkotsu ramen
3520,02-03-17,4.51E+15,1,burnt garlic tonkotsu ramen
3529,02-03-17,9.50E+15,2,burnt garlic tonkotsu ramen
3530,02-03-17,9.50E+15,2,burnt garlic tonkotsu ramen
3579,02-04-17,3.69E+15,2,burnt garlic tonkotsu ramen
3580,02-04-17,3.69E+15,2,burnt garlic tonkotsu ramen
3583,02-04-17,3.78E+15,1,burnt garlic tonkotsu ramen
3584,02-04-17,3.78E+15,1,burnt garlic tonkotsu ramen
3595,02-04-17,6.08E+15,1,burnt garlic tonkotsu ramen
3596,02-04-17,6.08E+15,1,burnt garlic tonkotsu ramen
3639,02-04-17,8.93E+15,1,burnt garlic tonkotsu ramen
3640,02-04-17,8.93E+15,1,burnt garlic tonkotsu ramen
3647,02-04-17,1.31E+15,1,burnt garlic tonkotsu ramen
3648,02-04-17,1.31E+15,1,burnt garlic tonkotsu ramen
3653,02-04-17,9.31E+15,1,burnt garlic tonkotsu ramen
3654,02-04-17,9.31E+15,1,burnt garlic tonkotsu ramen
3679,02-04-17,5.61E+15,1,burnt garlic tonkotsu ramen
3680,02-04-17,5.61E+15,1,burnt garlic tonkotsu ramen
3693,02-05-17,9.46E+15,1,burnt garlic tonkotsu ramen
3694,02-05-17,9.46E+15,1,burnt garlic tonkotsu ramen
3705,02-05-17,2.74E+15,1,burnt garlic tonkotsu ramen
3706,02-05-17,2.74E+15,1,burnt garlic tonkotsu ramen
3721,02-05-17,5.40E+15,1,burnt garlic tonkotsu ramen
3722,02-05-17,5.40E+15,1,burnt garlic tonkotsu ramen
3723,02-05-17,7.46E+14,1,burnt garlic tonkotsu ramen
3724,02-05-17,7.46E+14,1,burnt garlic tonkotsu ramen
3735,02-05-17,2.52E+15,1,burnt garlic tonkotsu ramen
3736,02-05-17,2.52E+15,1,burnt garlic tonkotsu ramen
3821,02-05-17,4.24E+15,1,burnt garlic tonkotsu ramen
3822,02-05-17,4.24E+15,1,burnt garlic tonkotsu ramen
3829,02-06-17,5.23E+15,1,burnt garlic tonkotsu ramen
3830,02-06-17,5.23E+15,1,burnt garlic tonkotsu ramen
3833,02-06-17,6.16E+15,1,burnt garlic tonkotsu ramen
3834,02-06-17,6.16E+15,1,burnt garlic tonkotsu ramen
3837,02-06-17,6.11E+15,1,burnt garlic tonkotsu ramen
3838,02-06-17,6.11E+15,1,burnt garlic tonkotsu ramen
3841,02-06-17,1.44E+15,1,burnt garlic tonkotsu ramen
3842,02-06-17,1.44E+15,1,burnt garlic tonkotsu ramen
3857,02-06-17,4.66E+15,1,burnt garlic tonkotsu ramen
3858,02-06-17,4.66E+15,1,burnt garlic tonkotsu ramen
3975,02-07-17,9.08E+15,4,burnt garlic tonkotsu ramen
3976,02-07-17,9.08E+15,4,burnt garlic tonkotsu ramen
3993,02-07-17,5.59E+15,3,burnt garlic tonkotsu ramen
3994,02-07-17,5.59E+15,3,burnt garlic tonkotsu ramen
4001,02-07-17,4.54E+15,1,burnt garlic tonkotsu ramen
4002,02-07-17,4.54E+15,1,burnt garlic tonkotsu ramen
4005,02-07-17,5.68E+15,1,burnt garlic tonkotsu ramen
4006,02-07-17,5.68E+15,1,burnt garlic tonkotsu ramen
4017,02-07-17,1.00E+16,1,burnt garlic tonkotsu ramen
4018,02-07-17,1.00E+16,1,burnt garlic tonkotsu ramen
4071,02-08-17,6.14E+15,1,burnt garlic tonkotsu ramen
4072,02-08-17,6.14E+15,1,burnt garlic tonkotsu ramen
4083,02-08-17,4.43E+14,1,burnt garlic tonkotsu ramen
4084,02-08-17,4.43E+14,1,burnt garlic tonkotsu ramen
4085,02-08-17,8.73E+14,1,burnt garlic tonkotsu ramen
4086,02-08-17,8.73E+14,1,burnt garlic tonkotsu ramen
4093,02-08-17,2.03E+15,2,burnt garlic tonkotsu ramen
4094,02-08-17,2.03E+15,2,burnt garlic tonkotsu ramen
4099,02-08-17,3.99E+15,1,burnt garlic tonkotsu ramen
4100,02-08-17,3.99E+15,1,burnt garlic tonkotsu ramen
4105,02-08-17,6.51E+15,1,burnt garlic tonkotsu ramen
4106,02-08-17,6.51E+15,1,burnt garlic tonkotsu ramen
4121,02-09-17,6.37E+15,2,burnt garlic tonkotsu ramen
4122,02-09-17,6.37E+15,2,burnt garlic tonkotsu ramen
4137,02-09-17,6.07E+14,1,burnt garlic tonkotsu ramen
4138,02-09-17,6.07E+14,1,burnt garlic tonkotsu ramen
4139,02-09-17,5.09E+15,1,burnt garlic tonkotsu ramen
4140,02-09-17,5.09E+15,1,burnt garlic tonkotsu ramen
4149,02-09-17,1.11E+15,1,burnt garlic tonkotsu ramen
4150,02-09-17,1.11E+15,1,burnt garlic tonkotsu ramen
4247,02-10-17,6.07E+15,1,burnt garlic tonkotsu ramen
4248,02-10-17,6.07E+15,1,burnt garlic tonkotsu ramen
4281,02-10-17,5.48E+15,2,burnt garlic tonkotsu ramen
4282,02-10-17,5.48E+15,2,burnt garlic tonkotsu ramen
4323,02-13-2017,2.43E+15,1,burnt garlic tonkotsu ramen
4324,02-13-2017,2.43E+15,1,burnt garlic tonkotsu ramen
4337,02-13-2017,3.14E+13,1,burnt garlic tonkotsu ramen
4338,02-13-2017,3.14E+13,1,burnt garlic tonkotsu ramen
4339,02-13-2017,6.56E+15,1,burnt garlic tonkotsu ramen
4340,02-13-2017,6.56E+15,1,burnt garlic tonkotsu ramen
4347,02-13-2017,9.74E+15,1,burnt garlic tonkotsu ramen
4348,02-13-2017,9.74E+15,1,burnt garlic tonkotsu ramen
4363,02-13-2017,3.46E+15,4,burnt garlic tonkotsu ramen
4364,02-13-2017,3.46E+15,4,burnt garlic tonkotsu ramen
4371,02-13-2017,7.76E+15,1,burnt garlic tonkotsu ramen
4372,02-13-2017,7.76E+15,1,burnt garlic tonkotsu ramen
4385,02-13-2017,8.36E+15,1,burnt garlic tonkotsu ramen
4386,02-13-2017,8.36E+15,1,burnt garlic tonkotsu ramen
4417,02-13-2017,6.48E+15,2,burnt garlic tonkotsu ramen
4418,02-13-2017,6.48E+15,2,burnt garlic tonkotsu ramen
4421,02-13-2017,2.17E+15,1,burnt garlic tonkotsu ramen
4422,02-13-2017,2.17E+15,1,burnt garlic tonkotsu ramen
4429,02-13-2017,4.90E+15,1,burnt garlic tonkotsu ramen
4430,02-13-2017,4.90E+15,1,burnt garlic tonkotsu ramen
4457,02-13-2017,4.25E+15,2,burnt garlic tonkotsu ramen
4458,02-13-2017,4.25E+15,2,burnt garlic tonkotsu ramen
4469,02-14-2017,7.39E+15,1,burnt garlic tonkotsu ramen
4470,02-14-2017,7.39E+15,1,burnt garlic tonkotsu ramen
4475,02-14-2017,5.56E+15,3,burnt garlic tonkotsu ramen
4476,02-14-2017,5.56E+15,3,burnt garlic tonkotsu ramen
4477,02-14-2017,7.04E+15,1,burnt garlic tonkotsu ramen
4478,02-14-2017,7.04E+15,1,burnt garlic tonkotsu ramen
4485,02-14-2017,5.97E+15,2,burnt garlic tonkotsu ramen
4486,02-14-2017,5.97E+15,2,burnt garlic tonkotsu ramen
4509,02-14-2017,1.86E+15,1,burnt garlic tonkotsu ramen
4510,02-14-2017,1.86E+15,1,burnt garlic tonkotsu ramen
4523,02-15-2017,8.47E+15,4,burnt garlic tonkotsu ramen
4524,02-15-2017,8.47E+15,4,burnt garlic tonkotsu ramen
4545,02-15-2017,3.30E+15,1,burnt garlic tonkotsu ramen
4546,02-15-2017,3.30E+15,1,burnt garlic tonkotsu ramen
4559,02-15-2017,9.41E+14,1,burnt garlic tonkotsu ramen
4560,02-15-2017,9.41E+14,1,burnt garlic tonkotsu ramen
